_¶é__³è,"If you do wish to participate in the research study, please select ""Agree"".",(1) Current country/area of residence?,(2) What is your current occupation?,(3) Your primary programming language?,(4) What best describes your primary role?,(5) How many years of experience do you have with your primary role?,(1) Do you think refactoring is an important part of DL software development process?,(2) Do you think the refactoring operations below are important in DL projects? [Rename],(2) Do you think the refactoring operations below are important in DL projects? [Move],(2) Do you think the refactoring operations below are important in DL projects? [Extract],(2) Do you think the refactoring operations below are important in DL projects? [Inline],(2) Do you think the refactoring operations below are important in DL projects? [Pull up],(2) Do you think the refactoring operations below are important in DL projects? [Push down],(2) Do you think the refactoring operations below are important in DL projects? [API Refactoring],(2) Do you think the refactoring operations below are important in DL projects? [Consolidate or Decompose Conditional Expression],(2) Do you think the refactoring operations below are important in DL projects? [Remove Dead Code],(3) Do you think refactoring operations below are frequently used in DL projects? [Rename],(3) Do you think refactoring operations below are frequently used in DL projects? [Move],(3) Do you think refactoring operations below are frequently used in DL projects? [Extract],(3) Do you think refactoring operations below are frequently used in DL projects? [Inline],(3) Do you think refactoring operations below are frequently used in DL projects? [Pull up],(3) Do you think refactoring operations below are frequently used in DL projects? [Push down],(3) Do you think refactoring operations below are frequently used in DL projects? [API Refactoring],(3) Do you think refactoring operations below are frequently used in DL projects? [Consolidate or Decompose Conditional Expression],(3) Do you think refactoring operations below are frequently used in DL projects? [Remove Dead Code],"(4) If you have a refactoring operation to add, please write it below.",(5) Do you think refactoring granularitoes below are important to improve the quality of the code in your DL project? [Variable],(5) Do you think refactoring granularitoes below are important to improve the quality of the code in your DL project? [Statement],(5) Do you think refactoring granularitoes below are important to improve the quality of the code in your DL project? [Method],(5) Do you think refactoring granularitoes below are important to improve the quality of the code in your DL project? [Class],(5) Do you think refactoring granularitoes below are important to improve the quality of the code in your DL project? [Module],(6) Do you think refactoring granularities below are frequently used in your DL project?  [Variable],(6) Do you think refactoring granularities below are frequently used in your DL project?  [Statement],(6) Do you think refactoring granularities below are frequently used in your DL project?  [Method],(6) Do you think refactoring granularities below are frequently used in your DL project?  [Class],(6) Do you think refactoring granularities below are frequently used in your DL project?  [Module],(1) Have you used or are you familiar with code smell detection tools?,"(2) If you have used code smell detection tools,  what is your opinion of these tools? If not, what factors or concerns have deterred you from trying code smell detection tools so far?",(4) Have you used or are you familiar with automatic refactoring tools?,"(5) If you have used automatic refactoring tools,  what is your opinion of these tools? If not, what factors or concerns have deterred you from trying automatic refactoring tools so far?",(6) Have you encountered any challenges or obstacles when using automatic refactoring tools? Please describe.,(1) Do you have any suggestions on how to improve automatic refactoring tools? ,"(2) Thank you very much for participating in our survey. If you have any additional comments or ideas, please feel free to share them below."
2023-11-11 ä¸__01:38:19,Agree,China,Industrial or freelance professional,"C/C++, Python",Development,6 to 9 years,Strong Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Agree,Agree,Parameter object,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Disagree,No,,No,,,,Deployment repos and research repos might have different refactoring tendencies.
2023-11-11 ä¸__01:01:15,Agree,,Industrial or freelance professional,"C/C++, Python, rust",algo and dev,,Strong Agree,Disagree,Disagree,Agree,Strong Agree,Strongly Disagree,Agree,Disagree,Strong Agree,Strong Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strong Agree,Disagree,Agree,Disagree,Strongly Disagree,,Disagree,Strongly Disagree,Strong Agree,Strong Agree,Disagree,Agree,Disagree,Strong Agree,Strong Agree,Neutral,No,"code quality is quite subjective and i dont think it could be effectively evaluated by a tool. for example, if there is a near-zero coefficient multiplied to a output of a rather complicated function, would you mark it as important?",No,the tools are usually designed for general purpose code analysis and are not specific to dl use cases. I don__ use them a lot and it__ sometimes not their fault. for example PyTorch doesn__ get its typing annotations straight. the tools hardly give valuable feedbacks ,,,feel free to contact me via admin@penguinliong.moe
2023-11-13 ä¸__03:54:35,Agree,Helsinki,Industrial or freelance professional,Python,Project Manager,6 to 9 years,Agree,Strong Agree,Agree,Strong Agree,Strong Agree,Strong Agree,Strong Agree,Agree,Agree,Strong Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Strong Agree,,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Agree,Agree,Agree,Agree,Agree,Yes,"I may not agree with the code smell. It may smell, but the refactoring may not make sense at a given point.",Yes,"It__ ok for very simple things within a module. Buy it can cause troubles sometimes, if you rename a variable to a name that alteady is taken by another variable, for example.",,"To be as explicit as possible before confirming changes, and it should always be easy to undo/have an easily navigatable history of recent changes. ",Good luck with the research!
2023-11-16 ä¸__06:17:25,Agree,Montenegro,Industrial or freelance professional,Python,Architect,10 years or more,Agree,Neutral,Agree,Strong Agree,Strong Agree,Agree,Agree,Neutral,Strong Agree,Strong Agree,Agree,Agree,Agree,Agree,I don't Know,I don't Know,Agree,Agree,Agree,,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Yes,"Very useful, but people who. need them most can't figure out how to set them up",Yes,Simple operations can be performed by the tool,Setup of comprehensive free and open source tooling is still challenging for many,Setup and configuration,Good luck with your research. Please share results
2023-11-10 ä¸__07:06:08,Agree,South Korea,Academic or industrial researcher,Python,Project Manager,2 to 3 years,Strong Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Strong Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,,Agree,Agree,Strong Agree,Agree,Strong Agree,Agree,Neutral,Agree,Agree,Neutral,No,I haven't used them so far.,Yes,I think automatic refactoring tools are very useful. ,"It is convenient, but it sometimes annoys because these tools change parts that do not need changes","I hope those tools are less invasive. Sometimes I feel they ""force"" me to refactor my code although some parts do not need a refactoring job.",Hope it helped. Good luck!
2023-11-13 ä¸__09:30:18,Agree,"Andhra Pradesh, India.",Undergraduate/graduate student,"C/C++, Python",Algorithm/ML Model Design,0 to 1 year,Strong Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,I don't Know,Strong Agree,Strong Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,I don't Know,Strong Agree,Strong Agree,,Neutral,Agree,Agree,Strong Agree,Strong Agree,Disagree,Neutral,Agree,Neutral,Agree,Yes,"I use Pylint, Ruff, different pre-commit hooks to find code that can be refactored, bugs in my code. They are pretty great but most are very slow. Ruff is the fastest tool I used. It'll be very good if all the tools are as fast as ruff.",Yes,I have used Sourcery tool for refactoring Python based codebases. It's a great tool.,"Sometimes they suggest few un-necessary changes, that I believe are not needed and bit of overkill.",I want them to be as fast as possible. Most of the tools take 20 secs (like Pylint for example) when working with large codebases.,I am happy to participate in this survey. It would be nice if you can suggest me various refactoring tools that are used in the industry knowing them will make me a better developer __.
2023-11-24 ä¸__09:07:01,Agree,India,Industrial or freelance professional,"C/C++, Python, JavaScript",Development,2 to 3 years,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strong Agree,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,I don't Know,Disagree,None. I do everything myself or through review,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,No,i only use ruff as of now so i cant answer this question in depth,No,,,I have not worked with these in depth so i have no suggestions,i dont think i was a good candidate for you to survey
2023-11-13 ä¸__09:01:41,Agree,Brazil,Undergraduate/graduate student,TypeScript,Development,4 to 5 years,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strong Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,I don't really like these tools. Sometimes it's impossible to run away from hacks. I think code and PR reviews are much more effective given the reality of an organization.,Yes,it makes things faster but it usually doesn't handle heavy complexity too well,"if the codebase is nasty and very hard to understand, these tools will be like shooting the sun with a super soaker.",Not even state of the art AI can achieve that perfectly so I think the best approach is to properly teach people how to code.,I marked a lot of answers as neutral because it depends heavily on the project. I do think that API changes are not good because it might break projects that depend on it.
2023-11-14 ä¸__02:18:04,Agree,Taiwan,Undergraduate/graduate student,Python,Algorithm/ML Model Design,2 to 3 years,Strong Agree,Neutral,Neutral,Strong Agree,Strong Agree,Agree,Agree,Strong Agree,Strong Agree,Agree,Disagree,Disagree,Strong Agree,Strong Agree,Neutral,Neutral,Agree,Agree,Neutral,,Neutral,Neutral,Agree,Strong Agree,Strong Agree,Disagree,Neutral,Agree,Strong Agree,Strong Agree,Yes,Pylint,No,I use VScode and I don't know if there are such tools.,,,"I think there should be a framework which arranges the codebase and modules (e.g. puts models in ./models/**.py and puts data pipeline in ./data/**.py), existed tools like PytorchLightning just help us arrange the class."
2023-11-14 ä¸__04:17:49,Agree,China,Academic or industrial researcher,"Java, Python, Golang",Security Engineer,6 to 9 years,Strong Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strong Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Strong Agree,,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Yes,,Yes,False Positives/Negatives,Contextual Understanding,Refine algorithms to reduce false positives and negatives.,"If you intend to promote in the open source community, easy-to-understand documentation is important."
